Loan ID,Married,Dependents,Education,Self Employed,Applicant Income,Coapplicant Income,Loan Amount,Loan Amount Term,Credit History,Property Area,Monthly Payment / AI,Monthly payment / CAI,Loan Status
1,1,0,1,1,3000,0,66,360,1,3,0.061111111,1,1
2,1,0,0,0,2583,2358,120,360,1,3,0.12904891,0.141362737,1
3,0,0,1,0,6000,0,141,360,1,3,0.065277778,1,1
4,1,2,1,1,5417,4196,267,360,1,3,0.136914651,0.17675564,1
5,1,0,0,0,2333,1516,95,360,1,3,0.113111397,0.174069188,1
7,1,2,1,0,4006,1526,168,360,1,3,0.116491929,0.305810398,1
9,1,2,1,0,3200,700,70,360,1,3,0.060763889,0.277777778,1
10,1,2,1,0,3073,8106,200,360,1,3,0.180786058,0.068536338,1
12,1,2,1,0,1299,1086,17,120,1,3,0.10905825,0.130448128,1
13,0,0,1,0,4950,0,125,360,1,3,0.070145903,1,1
17,1,1,1,0,5955,5625,315,360,1,3,0.146935348,0.155555556,1
19,1,0,1,1,9560,0,191,360,1,2,0.055497443,1,1
20,1,0,1,0,2799,2253,122,360,1,2,0.121074987,0.150416728,1
21,1,2,0,0,4226,1040,110,360,1,3,0.072303728,0.293803419,1
25,1,0,1,0,3500,1667,114,360,1,2,0.09047619,0.189962008,1
27,1,0,1,0,3667,1459,144,360,1,2,0.109080993,0.274160384,1
28,0,0,1,0,4166,7210,184,360,1,3,0.122686296,0.070889197,1
29,0,0,0,0,3748,1668,110,360,1,2,0.081524961,0.183186784,1
31,0,0,1,0,1800,1213,47,360,1,3,0.072530864,0.107630301,1
32,1,0,1,0,3941,2336,134,360,1,2,0.094448673,0.159341705,1
33,1,1,1,0,5649,0,44,360,1,3,0.021636081,1,1
34,1,0,1,0,5821,0,144,360,1,3,0.068716715,1,1
36,0,0,1,0,4000,2275,144,360,1,2,0.1,0.175824176,1
37,1,0,0,0,1928,1644,100,360,1,2,0.144075611,0.168964585,1
38,0,0,1,0,3086,0,120,360,1,2,0.10801469,1,1
42,1,2,1,0,2708,1167,97,360,1,2,0.099499426,0.230886413,1
43,1,0,1,0,2132,1591,96,360,1,2,0.125078174,0.16760947,1
45,1,1,1,0,8080,2250,180,360,1,3,0.061881188,0.222222222,1
46,1,2,0,0,3357,2859,144,360,1,3,0.119154007,0.139909059,1
47,1,0,1,0,2500,3796,120,360,1,3,0.133333333,0.087811732,1
48,1,3,1,0,3029,0,99,360,1,3,0.090789039,1,1
53,1,1,1,0,10750,0,312,360,1,3,0.080620155,1,1
54,1,3,0,1,7100,0,125,60,1,3,0.29342723,1,1
56,1,0,1,0,3208,3066,172,360,1,3,0.148933222,0.155830978,1
57,1,2,0,1,1875,1875,97,360,1,2,0.143703704,0.143703704,1
58,0,0,1,0,3500,0,81,300,1,2,0.077142857,1,1
59,1,3,1,1,5266,1774,187,360,1,2,0.098641178,0.292809721,1
64,0,0,1,0,3846,0,111,360,1,2,0.080169873,1,1
66,1,1,1,0,3988,0,50,240,1,3,0.052240053,1,1
67,0,0,1,0,2366,2531,136,360,1,2,0.15966939,0.149260284,1
68,1,0,1,0,2500,2118,104,360,1,2,0.115555556,0.13639702,1
69,0,0,1,0,8566,0,210,360,1,3,0.068098685,1,1
70,1,0,1,0,5695,4167,175,360,1,2,0.085357526,0.116657334,1
71,1,0,1,0,2958,2900,131,360,1,2,0.123018556,0.125478927,1
72,1,2,1,0,6250,5654,188,180,1,2,0.167111111,0.184726644,1
73,1,2,0,0,3273,1820,81,360,1,3,0.068744271,0.123626374,1
74,0,0,1,0,4133,0,122,360,1,2,0.08199586,1,1
75,0,0,0,0,3620,0,25,120,1,2,0.057550645,1,1
76,1,0,1,0,2484,2302,137,360,1,2,0.15320272,0.165315185,1
77,1,0,1,0,1977,997,50,360,1,2,0.070252346,0.139306809,1
78,1,0,0,0,4188,0,115,180,1,2,0.152552266,1,1
79,1,0,1,0,1759,3541,131,360,1,2,0.206872592,0.102764442,1
80,1,2,0,0,4288,3263,133,180,1,3,0.172315506,0.226444649,1
81,0,0,1,0,4843,3806,151,360,1,2,0.086608392,0.110206107,1
82,1,1,1,0,3052,1030,100,360,1,3,0.091014999,0.269687163,1
83,1,2,1,0,11417,1126,225,360,1,3,0.054742927,0.555062167,1
85,1,3,0,0,2071,754,94,480,1,2,0.094559794,0.259725906,1
86,0,0,1,0,5316,0,136,360,1,3,0.071064292,1,1
87,1,1,1,0,14583,0,185,180,1,1,0.070477801,1,1
88,1,0,1,0,3167,2283,154,360,1,2,0.135073501,0.187375286,1
90,0,0,1,0,10408,0,259,360,1,3,0.069124178,1,1
91,0,0,1,0,4166,0,44,360,1,2,0.029338027,1,1
92,0,0,1,0,2137,8980,137,360,0,2,0.178079343,0.042378124,1
93,1,2,1,0,2957,0,81,360,1,2,0.076090632,1,1
94,1,0,0,0,4300,2014,194,360,1,1,0.125322997,0.267571444,1
96,0,0,1,0,2014,1929,74,360,1,3,0.102063334,0.106560682,1
97,0,0,1,0,2718,0,70,360,1,2,0.071539531,1,1
98,1,0,1,1,3459,0,25,120,1,2,0.060229353,1,1
99,0,0,1,0,4895,0,102,360,1,2,0.057882193,1,1
102,1,2,1,1,3316,3500,88,360,1,3,0.07371666,0.06984127,1
106,0,0,1,0,5417,0,168,360,1,3,0.086148545,1,1
107,0,0,1,1,6950,0,175,180,1,2,0.13988809,1,1
108,1,0,1,0,2698,2034,122,360,1,2,0.125607446,0.16661204,1
109,1,2,1,0,11757,0,187,180,1,3,0.088363434,1,1
110,1,0,1,0,2330,4486,100,360,1,2,0.11921793,0.061921038,1
111,1,2,1,0,14866,0,70,360,1,3,0.013079809,1,1
112,1,1,1,0,1538,1425,30,360,1,3,0.054182922,0.058479532,1
114,1,0,1,0,4860,830,125,360,1,2,0.071444902,0.418340027,1
116,1,0,1,1,2577,3750,152,360,1,1,0.163842539,0.112592593,1
119,0,0,1,0,3254,0,50,360,1,3,0.04268251,1,1
120,1,3,1,0,39999,0,600,180,0,2,0.083335417,1,1
121,1,1,1,0,9538,0,187,360,1,3,0.05446052,1,1
122,1,0,1,0,4583,5625,255,360,1,2,0.154556695,0.125925926,1
123,1,0,0,0,1863,1041,98,360,1,2,0.146120355,0.261500694,1
126,1,2,1,0,4167,1447,158,360,1,1,0.105324907,0.303309529,1
127,1,0,1,0,9323,0,75,180,1,3,0.044692338,1,1
129,1,0,1,0,2439,3333,129,360,1,1,0.146918136,0.107510751,1
131,1,2,1,0,8000,0,200,360,1,2,0.069444444,1,1
133,1,0,1,0,5708,5625,187,360,1,2,0.091002881,0.092345679,1
135,1,0,1,0,3497,1964,116,360,1,1,0.092142471,0.164064268,1
136,1,2,1,0,2045,1619,101,360,1,1,0.137190981,0.17328941,1
138,1,1,1,0,3750,0,116,360,1,2,0.085925926,1,1
141,1,0,1,0,4600,0,73,180,1,2,0.088164251,1,1
143,1,0,1,0,3625,0,108,360,1,2,0.082758621,1,1
144,1,0,1,1,39147,4750,120,360,1,2,0.008514914,0.070175439,1
146,1,0,1,0,9328,0,188,180,1,1,0.111968744,1,1
147,0,0,0,0,4885,0,48,360,1,1,0.027294439,1,1
150,0,0,1,0,3858,0,76,360,1,2,0.05472035,1,1
151,0,0,1,0,4191,0,120,360,1,1,0.079535513,1,1
153,0,0,1,0,8333,3750,187,360,1,1,0.062335827,0.138518519,1
155,1,1,0,0,2600,2500,90,360,1,2,0.096153846,0.1,1
156,0,2,1,0,4923,0,166,360,0,2,0.093664658,1,1
157,1,1,0,0,3500,1083,135,360,1,3,0.107142857,0.346260388,1
158,1,2,0,0,3917,0,124,360,1,2,0.087935779,1,1
159,0,0,0,0,4408,0,120,360,1,2,0.075620085,1,1
160,0,0,1,0,3244,0,80,360,1,3,0.068502535,1,1
161,0,0,0,0,3975,2531,55,360,1,1,0.038434661,0.060362615,1
162,0,0,1,0,2479,0,59,360,1,3,0.066110887,1,1
166,1,1,1,1,7787,0,240,360,1,3,0.085612773,1,1
