Loan ID,Married,Dependents,Education,Self Employed,Applicant Income,Coapplicant Income,Loan Amount,Loan Amount Term,Credit History,Property Area,Monthly Payment / AI,Monthly payment / CAI,Loan Status
6,1,3,1,0,3036,2504,158,360,0,2,0.144561558,0.175275115,0
8,1,1,1,0,12841,10968,349,360,1,2,0.075496024,0.088388443,0
11,0,0,1,0,1853,2840,114,360,1,1,0.170894046,0.111502347,0
14,0,0,1,0,3510,0,76,360,0,3,0.060145616,1,0
15,1,0,0,0,4887,0,133,360,1,1,0.07559739,1,0
16,1,0,0,0,7660,0,104,360,0,3,0.037713954,1,0
18,1,0,0,0,2600,1911,116,360,0,2,0.123931624,0.168614454,0
22,0,0,0,0,1442,0,35,360,1,3,0.067421791,1,0
23,0,0,1,0,3167,0,74,360,1,3,0.064905449,1,0
24,0,1,1,1,4692,0,106,360,1,1,0.06275457,1,0
26,0,3,1,0,12500,3000,320,360,1,1,0.071111111,0.296296296,0
30,0,0,1,0,3600,0,80,360,1,3,0.061728395,1,0
35,1,0,1,0,2645,3440,120,360,0,3,0.126023945,0.096899225,0
39,0,0,1,0,4230,0,112,360,1,2,0.073548726,1,0
40,1,2,1,0,4616,0,134,360,1,3,0.080637396,1,0
41,1,1,1,1,11500,0,286,360,0,3,0.069082126,1,0
44,1,0,1,0,3366,2200,135,360,1,1,0.1114082,0.170454545,0
49,1,0,0,1,2609,3449,165,180,0,1,0.351347898,0.26577752,0
50,0,0,1,0,4166,0,116,360,0,2,0.077345709,1,0
51,1,0,1,0,5726,4595,258,360,1,2,0.125160088,0.15596663,0
52,0,0,0,0,3200,2254,126,180,0,3,0.21875,0.310559006,0
55,0,0,1,0,4300,0,136,360,0,2,0.087855297,1,0
60,0,0,1,0,3750,0,113,480,1,3,0.062777778,1,0
61,0,0,1,0,3750,4750,176,360,1,3,0.13037037,0.102923977,0
62,1,1,1,1,1000,3022,110,360,1,3,0.305555556,0.101110376,0
63,1,3,1,0,3167,4000,180,300,0,2,0.189453742,0.15,0
65,1,2,1,0,1378,1881,167,360,1,3,0.336639252,0.246618229,0
84,1,2,1,0,3800,3600,216,360,0,3,0.157894737,0.166666667,0
89,1,0,1,0,5568,2142,175,360,1,1,0.087304438,0.226942629,0
95,1,1,1,1,10513,3850,160,180,0,3,0.084551402,0.230880231,0
100,1,3,1,0,4000,7750,290,360,1,2,0.201388889,0.103942652,0
101,1,0,1,0,4583,0,84,360,1,1,0.050912794,1,0
103,0,0,1,0,14999,0,242,360,0,2,0.044817803,1,0
104,1,2,0,0,4200,1430,129,360,1,1,0.08531746,0.250582751,0
105,1,2,1,0,5042,2083,185,360,1,1,0.101921636,0.24670614,0
113,0,0,1,0,10000,1666,225,360,1,1,0.0625,0.37515006,0
115,0,0,1,0,6277,0,118,360,0,1,0.052218859,1,0
117,0,0,1,0,9166,0,244,360,1,3,0.073944772,1,0
118,1,2,0,0,2281,0,113,360,1,1,0.13761021,1,0
124,1,0,1,0,7933,0,275,360,1,3,0.096292561,1,0
125,1,1,1,0,3089,1280,121,360,0,2,0.108809036,0.262586806,0
128,1,0,1,0,4583,0,112,360,1,1,0.067883725,1,0
130,0,0,1,0,2237,0,63,480,0,2,0.058672329,1,0
132,1,3,0,0,3522,0,81,180,1,1,0.127768313,1,0
134,1,0,0,1,4344,736,87,360,1,2,0.05563229,0.328351449,0
137,1,3,1,0,5516,11300,495,360,0,2,0.249274837,0.121681416,0
139,0,0,0,0,2333,1451,102,480,0,3,0.091084441,0.146450724,0
140,1,1,1,0,6400,7250,180,360,0,3,0.078125,0.068965517,0
142,1,1,1,0,33846,0,260,360,1,2,0.021338481,1,0
145,1,1,1,1,2178,0,66,300,0,1,0.101010101,1,0
148,0,0,1,0,12000,0,164,360,1,2,0.037962963,1,0
149,1,0,0,0,6033,0,160,360,1,3,0.073668895,1,0
152,1,1,1,0,3125,2583,170,360,1,2,0.151111111,0.182819289,0
154,0,0,1,1,11000,0,83,360,1,3,0.020959596,1,0
163,0,0,1,0,3418,0,127,360,1,2,0.103211755,1,0
164,0,0,1,0,10000,0,214,360,1,2,0.059444444,1,0
165,1,3,1,0,3430,1250,128,360,0,2,0.103660512,0.284444444,0
